Label (Grouping),Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
"Palo Pinto County, Texas","28,409","25,842","22,603",582,269,214,13,"2,161","2,567","2,459",191,596,88,15,"1,523",5,2,0,10,0,0,16,7,4,2,86,28,0,0,19,0,0,21,3,2,4,0,0,2,0,0,1,1,0,0,5,22,9,0,0,0,3,3,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panola County, Texas","22,491","21,057","16,637","3,263",172,105,11,869,"1,434","1,364",167,374,39,11,726,13,7,0,17,7,0,0,1,2,0,53,9,0,3,13,1,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Parker County, Texas","148,222","133,872","122,995","1,738","1,229","1,035",116,"6,759","14,350","13,773",869,"3,688",731,88,"8,166",33,24,0,65,0,2,73,6,24,4,558,98,23,0,53,30,11,218,52,46,7,0,4,4,1,3,0,4,0,0,4,18,1,0,12,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Parmer County, Texas","9,869","8,193","5,572",75,171,18,4,"2,353","1,676","1,646",16,42,8,0,"1,529",0,0,0,21,0,0,21,0,0,9,20,0,1,0,14,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
"Pecos County, Texas","15,193","11,740","6,921",558,172,148,2,"3,939","3,453","3,361",32,141,18,10,"3,125",4,0,0,11,4,0,12,2,1,1,87,3,0,0,14,5,0,57,0,0,4,0,0,3,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polk County, Texas","50,123","46,457","36,343","4,924","1,019",340,2,"3,829","3,666","3,540",352,835,107,23,"2,092",9,5,4,56,3,8,38,0,3,5,108,17,7,7,22,10,5,24,0,4,8,0,1,1,0,0,0,0,0,0,2,13,0,0,4,0,1,4,1,0,0,0,0,2,1,0,0,3,0,3,0,0,0,0,2,2
"Potter County, Texas","118,525","98,979","61,693","12,561","1,397","6,172",41,"17,115","19,546","19,018","1,214","1,884",323,16,"14,906",120,48,5,203,11,4,183,34,64,3,489,120,9,1,115,28,9,151,13,35,3,3,0,2,0,0,0,0,0,0,0,38,6,3,19,2,0,0,0,2,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0
"Presidio County, Texas","6,131","3,683","2,331",27,48,86,0,"1,191","2,448","2,411",2,40,0,5,"2,337",0,0,0,0,0,0,25,2,0,0,28,2,2,0,5,0,0,11,0,1,4,2,0,0,1,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0
"Rains County, Texas","12,164","11,346","10,394",270,112,55,3,512,818,788,70,300,38,0,375,5,0,0,0,0,0,0,0,0,0,25,2,0,1,0,0,0,7,7,1,0,0,0,1,2,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Randall County, Texas","140,753","123,378","105,870","4,992","1,263","2,737",60,"8,456","17,375","16,850","1,166","2,758",600,55,"11,885",53,26,1,122,2,3,126,13,33,7,504,101,33,8,72,30,0,188,21,51,0,0,0,0,0,0,0,0,0,0,0,19,2,2,12,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Reagan County, Texas","3,385","2,594","1,736",42,32,20,1,763,791,769,19,24,0,0,697,1,0,0,5,1,0,13,4,3,2,12,0,2,2,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,2,0,2,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0
"Real County, Texas","2,758","2,432","2,213",28,20,13,3,155,326,304,1,48,1,0,244,1,3,0,2,3,0,1,0,0,0,16,7,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
"Red River County, Texas","11,587","11,014","8,700","1,762",111,51,4,386,573,527,77,224,15,7,173,15,0,0,6,0,0,3,5,2,0,36,8,11,2,9,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0
"Reeves County, Texas","14,748","11,067","8,073",290,101,169,3,"2,431","3,681","3,625",5,40,4,5,"3,524",0,3,0,20,1,0,18,1,3,1,54,2,1,1,2,20,0,19,1,0,2,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Refugio County, Texas","6,741","5,413","4,172",462,32,32,0,715,"1,328","1,282",28,63,4,10,"1,139",1,0,2,16,0,0,14,0,4,1,41,6,12,0,3,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roberts County, Texas",827,755,737,2,3,0,0,13,72,59,7,29,0,2,14,0,1,0,0,0,0,0,6,0,0,7,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Robertson County, Texas","16,757","15,482","10,502","3,176",102,107,21,"1,574","1,275","1,222",130,195,17,1,822,23,3,1,22,0,0,6,0,1,1,35,0,1,0,1,0,0,23,0,0,0,8,0,0,0,0,0,0,0,0,2,14,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,1
"Rockwall County, Texas","107,819","94,391","74,913","8,398",899,"3,371",111,"6,699","13,428","12,875",895,"2,175",908,57,"8,321",84,39,1,129,15,9,206,9,27,0,503,79,23,2,65,33,0,201,47,40,2,0,5,2,0,0,0,2,1,0,1,46,4,0,31,1,10,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,0
"Runnels County, Texas","9,900","8,698","7,480",146,86,24,7,955,"1,202","1,151",63,131,10,6,909,0,0,9,1,1,4,8,0,8,1,37,3,1,0,12,0,0,10,7,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,6,6,0,0,0,0,0,0
"Rusk County, Texas","52,214","47,962","33,865","8,326",401,231,24,"5,115","4,252","4,111",532,872,88,6,"2,480",47,1,0,41,4,0,39,0,1,0,129,35,0,0,36,8,0,32,4,4,3,2,5,0,0,0,0,0,0,0,0,12,0,5,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabine County, Texas","9,894","9,413","8,426",745,51,53,0,138,481,448,54,201,3,5,145,3,4,0,23,0,1,7,1,1,0,27,6,8,0,6,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"San Augustine County, Texas","7,918","7,526","5,352","1,781",33,42,0,318,392,349,61,57,3,0,198,14,0,7,4,0,0,5,0,0,0,40,7,1,1,7,1,0,3,1,8,0,5,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"San Jacinto County, Texas","27,402","24,982","20,276","2,134",219,88,20,"2,245","2,420","2,346",189,584,66,6,"1,401",13,2,3,29,1,0,39,5,8,0,65,22,0,0,9,0,0,29,0,1,0,0,0,0,3,0,1,0,0,0,0,9,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Patricio County, Texas","68,755","52,670","42,197","1,195",544,886,87,"7,761","16,085","15,745",285,826,262,37,"14,096",8,20,4,69,6,0,98,16,17,1,313,23,8,2,72,12,0,148,13,17,0,1,0,10,2,0,4,0,1,0,0,25,0,0,8,4,3,0,0,2,0,0,3,0,2,0,3,2,0,1,0,0,0,1,0,0
"San Saba County, Texas","5,730","5,195","4,274",121,39,17,2,742,535,501,15,65,14,0,391,1,0,0,0,0,0,7,2,4,2,26,4,0,0,2,0,5,3,0,7,0,1,0,4,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schleicher County, Texas","2,451","2,096","1,368",26,24,10,3,665,355,334,1,20,3,3,292,3,1,0,1,5,0,0,1,3,1,16,3,0,0,5,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0
"Scurry County, Texas","16,932","14,567","10,867",637,126,83,8,"2,846","2,365","2,307",119,218,24,3,"1,894",1,8,0,13,0,0,18,2,1,6,53,11,0,0,10,5,0,15,0,1,0,9,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"Shackelford County, Texas","3,105","2,910","2,731",23,10,18,0,128,195,173,9,50,5,3,95,2,0,0,0,4,0,5,0,0,0,17,0,0,2,0,0,1,4,0,0,1,3,0,0,0,2,0,0,0,4,0,5,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shelby County, Texas","24,022","22,008","15,111","3,836",139,370,14,"2,538","2,014","1,926",172,284,37,4,"1,338",10,3,0,32,3,0,33,3,3,4,72,13,1,1,5,10,0,21,9,4,0,4,0,4,0,0,0,0,0,0,0,12,0,0,1,0,7,3,1,0,0,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0
"Sherman County, Texas","2,782","2,188","1,612",12,37,3,0,524,594,557,11,33,4,0,491,3,4,3,3,0,0,4,1,0,0,24,2,0,4,4,1,0,2,1,1,0,0,0,6,1,0,0,1,0,0,1,12,0,0,6,0,0,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"Smith County, Texas","233,479","211,043","144,539","38,593","1,656","4,188",106,"21,961","22,436","21,669","2,173","3,568",878,53,"14,046",250,74,19,287,16,3,239,30,33,0,695,193,28,1,122,37,9,210,30,32,5,0,0,16,0,0,0,0,6,0,6,66,4,2,24,9,2,0,0,2,2,5,7,0,0,9,0,6,5,0,0,1,0,0,0,0
"Somervell County, Texas","9,205","8,088","7,373",45,78,58,0,534,"1,117","1,067",29,222,12,1,775,5,1,0,11,0,0,9,0,0,2,40,10,0,5,0,0,0,9,7,0,0,0,0,4,0,0,0,0,0,0,5,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0
"Starr County, Texas","65,920","34,893","21,839",66,253,111,1,"12,623","31,027","30,929",42,57,2,0,"30,679",1,1,6,21,0,0,94,0,21,5,81,4,0,0,9,6,1,47,1,2,7,0,0,0,3,0,0,0,0,0,1,16,0,3,6,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Stephens County, Texas","9,101","8,280","7,013",246,61,63,1,896,821,757,39,151,8,4,524,0,0,2,10,0,3,7,0,5,4,45,12,2,0,2,0,5,22,0,0,0,0,0,1,1,0,0,0,0,0,0,19,3,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sterling County, Texas","1,372","1,196","1,064",3,6,1,2,120,176,162,10,21,9,0,115,0,2,0,0,2,0,0,0,3,0,6,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"Stonewall County, Texas","1,245","1,133","1,032",20,10,5,0,66,112,100,9,15,1,0,72,0,0,1,0,0,0,0,0,0,2,8,2,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0
"Sutton County, Texas","3,372","2,514","1,959",10,16,8,2,519,858,840,4,19,8,0,800,1,1,2,4,0,0,1,0,0,0,8,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"Swisher County, Texas","6,971","5,834","4,182",438,49,12,3,"1,150","1,137","1,105",44,91,10,2,923,5,0,2,23,0,1,1,0,3,0,21,5,0,1,0,5,0,5,0,3,1,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrant County, Texas","2,110,640","1,814,445","1,044,549","366,727","18,690","129,437","4,551","250,491","296,195","283,000","20,189","26,304","15,172","1,076","204,088","3,109","1,797",321,"5,267",241,39,"3,329",683,"1,124",261,"11,874","2,391",827,132,"2,120",529,93,"3,808",534,934,87,62,2,211,52,46,7,4,16,12,7,"1,209",159,28,718,31,75,4,57,97,3,19,11,7,0,0,0,97,41,50,5,0,1,0,15,15
"Taylor County, Texas","143,208","126,033","99,225","11,771","1,262","2,924",189,"10,662","17,175","16,301","1,865","2,505",900,62,"10,172",128,95,8,308,16,3,116,71,29,23,796,169,70,12,138,44,11,241,26,40,0,0,0,7,20,13,0,1,0,0,4,75,10,4,28,5,0,0,6,15,0,6,0,1,0,0,0,3,2,1,0,0,0,0,0,0
"Terrell County, Texas",760,646,480,8,0,5,0,153,114,98,6,3,0,2,86,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,2,1,0,1,0,3,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"Terry County, Texas","11,831","9,250","6,930",454,76,40,0,"1,750","2,581","2,540",40,110,11,16,"2,314",0,0,0,14,1,0,23,7,4,0,31,9,0,5,8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0
"Throckmorton County, Texas","1,440","1,336","1,294",2,5,3,0,32,104,85,6,27,0,1,47,1,0,0,1,0,0,0,0,2,0,18,0,2,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titus County, Texas","31,247","26,265","16,188","2,992",377,278,9,"6,421","4,982","4,894",230,486,30,2,"3,970",29,5,0,51,0,0,70,4,8,9,87,23,0,1,11,0,3,43,0,0,2,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tom Green County, Texas","120,003","98,664","78,548","4,544","1,050","1,801",175,"12,546","21,339","20,636",888,"1,827",659,64,"16,665",66,50,8,183,1,0,125,32,63,5,662,141,25,16,96,17,0,278,20,52,1,0,0,8,7,0,0,0,1,0,0,31,0,0,17,4,7,0,2,1,0,0,0,0,0,0,0,6,3,1,0,2,0,0,4,4
"Travis County, Texas","1,290,188","1,079,633","709,447","101,267","12,463","101,038","1,019","154,399","210,555","200,874","9,967","13,879","16,142",764,"151,216",935,954,90,"3,046",199,12,"2,291",532,733,114,"8,719","1,224",461,29,"1,389",476,27,"3,500",461,859,70,57,0,76,25,44,0,0,16,4,1,873,147,5,490,2,63,9,44,81,5,19,0,0,0,2,6,80,31,43,4,1,1,0,9,9
"Trinity County, Texas","13,602","12,576","10,833","1,092",54,34,5,558,"1,026",938,110,289,20,2,489,8,3,0,1,1,0,11,0,4,0,66,13,5,0,12,3,6,10,8,2,0,0,0,3,0,0,0,0,4,0,0,17,0,0,5,4,7,1,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0
"Tyler County, Texas","19,798","18,841","15,621","2,059",120,100,3,938,957,918,184,302,22,0,363,2,0,0,14,0,4,9,1,12,5,35,9,4,4,2,0,0,11,0,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Upshur County, Texas","40,892","37,542","32,238","2,958",340,177,13,"1,816","3,350","3,190",464,"1,100",95,15,"1,401",40,0,4,34,3,7,25,2,0,0,137,61,1,0,16,0,10,26,13,3,0,0,0,0,0,1,0,0,6,0,0,21,5,0,4,3,0,0,7,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0
"Upton County, Texas","3,308","2,321","1,849",74,13,5,0,380,987,964,17,70,5,2,847,5,4,0,7,0,0,3,4,0,0,20,4,4,0,1,0,1,3,2,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
"Uvalde County, Texas","24,564","17,058","12,584",159,133,162,8,"4,012","7,506","7,414",27,204,14,7,"7,069",4,1,5,29,0,3,37,3,11,0,74,12,1,0,19,2,2,36,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,2,0,0,2,0,5,0,0,0,0,0,3,0,2,1,0,0,0,0,0
"Val Verde County, Texas","47,586","30,969","21,218",665,337,379,47,"8,323","16,617","16,401",115,262,135,1,"15,640",43,3,6,66,0,0,94,6,13,17,206,14,0,0,32,3,7,106,10,15,6,0,0,10,3,0,0,0,0,0,0,8,0,1,2,0,0,0,2,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"Van Zandt County, Texas","59,541","54,766","49,904","1,542",473,275,30,"2,542","4,775","4,596",349,"1,283",160,12,"2,710",20,2,1,10,3,1,37,2,6,0,169,51,0,0,18,17,1,61,2,3,0,0,0,8,5,0,2,0,0,1,0,8,2,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1
"Victoria County, Texas","91,319","72,846","53,085","5,729",726,"1,431",43,"11,832","18,473","18,077",643,954,207,25,"15,856",41,14,0,213,3,0,85,7,24,5,371,30,4,0,129,3,0,131,11,34,14,0,0,13,0,2,0,0,0,0,0,25,15,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walker County, Texas","76,400","71,212","42,800","16,638",468,"1,148",42,"10,116","5,188","5,005",507,894,123,16,"3,267",48,0,6,64,3,0,46,20,6,5,156,42,5,5,25,3,0,54,11,5,4,0,0,0,0,0,0,0,0,2,0,25,4,0,9,0,0,2,0,0,5,3,0,2,0,0,0,2,0,2,0,0,0,0,0,0
"Waller County, Texas","56,794","49,474","26,479","12,256",634,809,20,"9,276","7,320","7,097",304,631,162,11,"5,677",47,13,3,92,6,3,124,7,13,4,207,38,14,0,39,1,0,80,7,16,1,0,0,6,4,0,0,1,0,0,0,16,2,0,6,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ward County, Texas","11,644","9,342","6,567",482,122,69,2,"2,100","2,302","2,233",115,133,3,5,"1,918",9,6,0,21,1,0,10,1,0,11,55,2,3,0,10,3,0,21,6,3,0,0,0,1,4,0,0,0,1,0,1,12,0,1,0,9,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"Washington County, Texas","35,805","31,899","23,299","5,626",154,564,18,"2,238","3,906","3,791",264,402,88,15,"2,881",20,4,0,69,4,8,32,0,2,2,102,21,1,0,17,7,3,29,0,1,2,0,0,3,1,5,4,3,1,0,4,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,2,4,0,0,0,0,2,2
"Webb County, Texas","267,114","159,681","102,723","1,166","1,651","1,405",53,"52,683","107,433","106,823",150,397,129,15,"105,323",12,1,4,182,12,0,477,14,91,16,557,21,3,0,58,13,6,355,3,84,7,0,0,0,0,0,4,2,0,1,0,46,0,0,34,0,1,2,0,7,0,0,0,0,0,2,0,7,0,6,0,0,0,1,0,0
"Wharton County, Texas","41,570","35,188","22,903","5,676",294,193,1,"6,121","6,382","6,248",194,275,37,10,"5,554",7,3,8,92,0,0,52,0,10,6,119,14,1,1,31,4,0,64,0,4,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0
"Wheeler County, Texas","4,990","4,438","3,748",86,57,27,2,518,552,529,30,82,13,0,387,1,2,0,11,0,0,1,0,2,0,16,0,0,0,3,0,0,7,2,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
"Wichita County, Texas","129,350","115,415","86,718","13,887","1,443","2,747",181,"10,439","13,935","13,145","1,705","2,703",845,92,"7,072",142,67,11,315,5,5,109,46,19,9,742,223,47,5,128,53,9,163,50,36,3,7,0,3,6,3,4,0,0,1,1,35,6,1,9,5,3,0,4,6,0,0,0,1,0,0,0,13,2,6,2,0,3,0,0,0
"Wilbarger County, Texas","12,887","11,537","8,092","1,062",177,571,0,"1,635","1,350","1,271",147,222,23,10,828,9,0,0,0,1,0,13,0,14,4,68,17,0,0,7,0,0,29,4,2,0,5,0,0,1,2,0,0,0,0,1,9,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Willacy County, Texas","20,164","13,966","8,743",497,149,165,2,"4,410","6,198","6,149",17,26,14,4,"6,053",1,1,0,12,2,0,14,0,3,2,33,1,3,0,11,9,0,1,4,1,0,0,0,0,0,0,0,0,0,0,3,13,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Williamson County, Texas","609,017","517,900","373,264","40,732","4,588","54,628",735,"43,953","91,117","86,338","6,139","8,795","7,229",464,"59,835",447,480,73,"1,332",105,5,724,248,409,53,"4,338",654,286,8,637,287,23,"1,483",324,528,20,4,1,45,7,17,0,1,5,0,8,417,51,4,204,12,43,2,15,65,1,7,6,4,0,3,0,24,10,14,0,0,0,0,0,0
"Wilson County, Texas","49,753","40,399","34,471",776,473,254,33,"4,392","9,354","9,065",175,736,188,26,"7,815",14,9,5,50,3,0,28,4,9,3,265,30,4,0,24,13,0,148,13,32,1,0,0,0,0,0,0,0,0,0,0,18,3,0,7,1,0,0,7,0,0,0,0,0,0,0,0,6,2,0,1,0,3,0,0,0
"Winkler County, Texas","7,791","6,231","4,046",163,135,85,1,"1,801","1,560","1,533",22,79,14,0,"1,378",7,0,0,5,0,0,22,0,6,0,23,6,0,0,4,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Wise County, Texas","68,632","61,062","54,054",720,695,382,13,"5,198","7,570","7,318",360,"1,753",202,27,"4,868",20,7,0,33,1,3,37,2,2,3,234,50,8,1,39,7,6,94,7,2,3,0,0,9,0,2,0,5,1,0,0,14,2,0,2,2,0,0,5,1,0,0,2,0,0,0,0,4,3,0,0,0,0,1,0,0
"Wood County, Texas","44,843","41,316","36,871","1,693",339,230,4,"2,179","3,527","3,411",310,"1,046",94,8,"1,846",14,9,4,18,13,0,44,1,1,3,100,31,3,0,22,3,0,34,1,0,2,0,3,0,0,0,0,0,0,0,1,16,5,0,5,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yoakum County, Texas","7,694","5,896","3,758",63,62,50,0,"1,963","1,798","1,780",25,56,5,0,"1,665",2,6,0,2,0,0,13,2,4,0,11,5,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young County, Texas","17,867","16,366","14,398",183,184,89,0,"1,512","1,501","1,457",96,363,31,9,931,3,0,3,9,0,0,3,3,5,1,40,15,0,0,12,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zapata County, Texas","13,889","7,570","5,421",18,67,16,0,"2,048","6,319","6,278",4,33,6,0,"6,217",1,0,1,6,0,0,7,3,0,0,34,1,0,0,0,0,0,22,0,9,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
